epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5997,3.19067,27.5837,1.67583,0.0002,0.0177,0.0001,8e-05,2.24278,22.733,1.57971,0.00048,0.00048,0.00048
2,81.3789,2.53798,17.4449,1.34183,0.00212,0.18584,0.00128,0.00058,2.07918,150.583,1.41936,0.000976766,0.000976766,0.000976766
3,155.68,2.44573,14.2048,1.28727,0.00323,0.28319,0.12074,0.06144,1.93365,16.5237,1.25357,0.00147023,0.00147023,0.00147023
4,195.843,2.4455,12.5044,1.25289,0.25909,0.04425,0.06951,0.03155,2.42562,11.9348,1.43819,0.0019604,0.0019604,0.0019604
5,203.812,2.41565,10.7569,1.22678,0.3655,0.20354,0.21159,0.10985,2.51056,9.75508,1.40906,0.0019736,0.0019736,0.0019736
6,212.794,2.30256,8.87425,1.22284,0.25661,0.15044,0.10043,0.03042,2.67838,10.3123,1.36176,0.001967,0.001967,0.001967
7,220.397,2.29695,8.33866,1.19685,0.4633,0.2063,0.21134,0.07455,2.84525,8.87,1.46924,0.0019604,0.0019604,0.0019604
8,228.042,2.23907,7.54355,1.17411,0.46233,0.16814,0.1741,0.09446,2.20429,8.19849,1.2247,0.0019538,0.0019538,0.0019538
9,235.728,2.23157,7.35078,1.18507,0.37938,0.29204,0.29474,0.1638,1.97443,6.24475,1.15447,0.0019472,0.0019472,0.0019472
10,243.557,2.20104,6.81811,1.17649,0.33154,0.31603,0.2274,0.11435,2.00198,6.87085,1.20529,0.0019406,0.0019406,0.0019406
11,251.167,2.19598,6.68378,1.14672,0.55432,0.17613,0.2394,0.11419,2.28757,8.60879,1.16334,0.001934,0.001934,0.001934
12,258.888,2.14521,6.42385,1.13288,0.71585,0.17699,0.21455,0.12633,2.10328,7.03048,1.21353,0.0019274,0.0019274,0.0019274
13,266.503,2.169,5.97029,1.12503,0.81451,0.16814,0.21631,0.11403,2.18628,6.73361,1.282,0.0019208,0.0019208,0.0019208
14,274.107,2.13629,5.9797,1.14348,0.7065,0.18584,0.22464,0.13083,2.04993,6.85899,1.18605,0.0019142,0.0019142,0.0019142
15,281.706,2.06839,5.78382,1.12472,0.38264,0.23009,0.2497,0.12968,2.13267,8.44261,1.25978,0.0019076,0.0019076,0.0019076
16,289.33,2.07248,5.70605,1.11986,0.56317,0.24779,0.28767,0.16235,1.92142,5.80234,1.15308,0.001901,0.001901,0.001901
17,297.023,2.0381,5.45585,1.10641,0.44522,0.31858,0.29167,0.16024,1.92487,6.32543,1.19389,0.0018944,0.0018944,0.0018944
18,304.648,2.04269,5.34594,1.09043,0.56237,0.24779,0.32129,0.17928,2.02428,6.23685,1.15566,0.0018878,0.0018878,0.0018878
19,312.305,1.99965,5.00058,1.08865,0.4949,0.24779,0.30337,0.15872,2.02241,6.95635,1.12779,0.0018812,0.0018812,0.0018812
20,319.919,2.05686,5.23815,1.10773,0.50184,0.31858,0.35275,0.19466,1.92909,5.23094,1.18174,0.0018746,0.0018746,0.0018746
21,327.564,2.00206,4.91421,1.07919,0.6096,0.28319,0.37513,0.20308,2.08042,4.99785,1.25638,0.001868,0.001868,0.001868
22,335.239,2.0021,4.94617,1.09032,0.47828,0.31858,0.34501,0.19258,1.8759,4.89783,1.12856,0.0018614,0.0018614,0.0018614
23,342.918,2.02212,4.99777,1.08506,0.54682,0.34513,0.39019,0.21316,1.96162,4.69052,1.15478,0.0018548,0.0018548,0.0018548
24,350.56,1.97676,4.84725,1.08584,0.52739,0.29629,0.32235,0.15963,2.24989,6.53371,1.27443,0.0018482,0.0018482,0.0018482
25,358.167,1.9485,4.5853,1.07814,0.69233,0.23894,0.32881,0.19039,1.8406,4.7205,1.13789,0.0018416,0.0018416,0.0018416
26,365.812,1.91248,4.74309,1.06638,0.54022,0.25664,0.34333,0.21406,1.90015,5.10566,1.18654,0.001835,0.001835,0.001835
27,373.457,1.89203,4.58667,1.04763,0.51837,0.33628,0.37447,0.22332,1.81779,5.06416,1.14115,0.0018284,0.0018284,0.0018284
28,381.108,1.86728,4.62608,1.06565,0.68905,0.29204,0.35429,0.21069,1.83,4.64787,1.14097,0.0018218,0.0018218,0.0018218
29,388.79,1.8861,4.42549,1.04878,0.78681,0.26134,0.32594,0.18773,2.0556,4.88479,1.22449,0.0018152,0.0018152,0.0018152
30,396.45,1.93549,4.66047,1.08521,0.53441,0.30973,0.34635,0.20482,1.7769,4.51291,1.12787,0.0018086,0.0018086,0.0018086
31,404.071,1.88432,4.36855,1.07543,0.5728,0.29204,0.34124,0.19561,1.86597,4.27694,1.14785,0.001802,0.001802,0.001802
32,411.699,1.8659,4.44609,1.04308,0.68826,0.34513,0.41338,0.22705,1.948,4.55535,1.17703,0.0017954,0.0017954,0.0017954
33,419.333,1.89523,4.31526,1.05612,0.70669,0.25588,0.34072,0.20913,1.84831,4.84969,1.15769,0.0017888,0.0017888,0.0017888
34,426.956,1.99495,4.59184,1.07919,0.60762,0.2193,0.2577,0.15909,1.95444,6.33292,1.22884,0.0017822,0.0017822,0.0017822
35,434.65,1.94202,4.6125,1.06228,0.50111,0.24779,0.31568,0.1846,2.05967,5.60239,1.27754,0.0017756,0.0017756,0.0017756
36,442.261,1.87975,4.28198,1.06417,0.64019,0.23009,0.3319,0.19695,1.9608,6.01225,1.17661,0.001769,0.001769,0.001769
37,449.884,1.80592,4.14186,1.0347,0.55901,0.27434,0.31006,0.19821,1.78177,4.34579,1.09445,0.0017624,0.0017624,0.0017624
38,457.501,1.80259,3.99693,1.04997,0.50968,0.38938,0.4014,0.2379,1.85734,4.80696,1.18729,0.0017558,0.0017558,0.0017558
39,465.363,1.7921,4.17604,1.03616,0.58648,0.33628,0.41903,0.24323,1.87768,4.81304,1.16605,0.0017492,0.0017492,0.0017492
40,473.018,1.83551,4.18738,1.03761,0.72161,0.28319,0.31545,0.17929,1.86432,4.71252,1.12344,0.0017426,0.0017426,0.0017426
41,480.707,1.83357,4.1569,1.02816,0.60906,0.28957,0.35173,0.21581,1.80408,5.09902,1.13123,0.001736,0.001736,0.001736
42,488.314,1.79784,3.96278,1.01483,0.80825,0.25664,0.355,0.19688,2.01258,5.29441,1.19391,0.0017294,0.0017294,0.0017294
43,496.015,1.88167,4.13137,1.03673,0.54093,0.32743,0.37346,0.21693,2.07811,5.40515,1.18959,0.0017228,0.0017228,0.0017228
44,503.714,1.73804,3.66852,1.0287,0.71383,0.23009,0.30723,0.18152,1.9068,4.82876,1.12015,0.0017162,0.0017162,0.0017162
45,511.428,1.84598,4.03815,1.03148,0.56351,0.29204,0.28339,0.15304,2.14083,6.0476,1.23537,0.0017096,0.0017096,0.0017096
46,519.07,1.82339,4.12987,1.04073,0.63284,0.35398,0.41802,0.25553,1.82239,4.78242,1.12436,0.001703,0.001703,0.001703
47,526.846,1.79778,3.89507,1.02649,0.67157,0.34513,0.40635,0.22973,1.85478,4.79908,1.12609,0.0016964,0.0016964,0.0016964
48,534.552,1.743,3.75759,1.0011,0.65301,0.30088,0.33274,0.18731,1.90735,4.75204,1.15534,0.0016898,0.0016898,0.0016898
49,542.223,1.79454,3.8363,1.03137,0.64415,0.25664,0.33446,0.22181,1.72439,4.71197,1.09548,0.0016832,0.0016832,0.0016832
50,549.842,1.69219,3.69927,1.00089,0.52086,0.27902,0.36533,0.21175,1.929,5.7866,1.16444,0.0016766,0.0016766,0.0016766
51,557.457,1.74775,3.67755,1.00808,0.56739,0.28319,0.34445,0.21112,1.83871,6.23281,1.16169,0.00167,0.00167,0.00167
52,565.07,1.74045,3.67912,1.00369,0.59952,0.30474,0.33433,0.20992,1.71842,5.2449,1.09892,0.0016634,0.0016634,0.0016634
53,572.762,1.77141,3.82997,1.0044,0.61516,0.27434,0.3174,0.19331,1.78248,4.48296,1.11136,0.0016568,0.0016568,0.0016568
54,580.46,1.73542,3.72029,1.00724,0.66055,0.28319,0.36526,0.23159,1.78665,4.00406,1.12404,0.0016502,0.0016502,0.0016502
55,588.113,1.73268,3.73667,1.01735,0.59197,0.23894,0.28805,0.17571,1.76156,4.76329,1.07029,0.0016436,0.0016436,0.0016436
56,595.764,1.70908,3.66276,0.99787,0.7605,0.27434,0.34475,0.22179,1.77247,3.99423,1.11389,0.001637,0.001637,0.001637
57,603.372,1.69523,3.49063,0.99685,0.59393,0.27186,0.33792,0.20709,1.86793,4.77733,1.15601,0.0016304,0.0016304,0.0016304
58,611.011,1.64033,3.53371,1.005,0.73217,0.31455,0.43146,0.26404,1.8286,5.79835,1.12943,0.0016238,0.0016238,0.0016238
59,618.745,1.70216,3.62917,1.00252,0.57553,0.34513,0.38858,0.2326,1.89955,5.12749,1.16053,0.0016172,0.0016172,0.0016172
60,626.393,1.71827,3.59401,1.00749,0.65412,0.26549,0.3474,0.20909,1.90807,5.63054,1.16543,0.0016106,0.0016106,0.0016106
61,634.01,1.61576,3.34746,0.98467,0.71873,0.24877,0.35219,0.21318,1.8325,4.96903,1.12173,0.001604,0.001604,0.001604
62,641.662,1.66399,3.36476,0.97862,0.78482,0.27434,0.35384,0.23087,1.69488,4.52553,1.07211,0.0015974,0.0015974,0.0015974
63,649.288,1.67188,3.41366,0.98806,0.7963,0.24221,0.32292,0.20913,1.76748,4.34164,1.11707,0.0015908,0.0015908,0.0015908
64,656.944,1.62803,3.33667,0.97847,0.60846,0.31858,0.36434,0.2067,1.79158,4.79627,1.10811,0.0015842,0.0015842,0.0015842
65,664.642,1.63001,3.29655,0.97444,0.58855,0.25664,0.31504,0.20397,1.83402,5.70861,1.1353,0.0015776,0.0015776,0.0015776
66,672.277,1.64927,3.28201,0.98315,0.64269,0.28319,0.40018,0.24665,1.87706,5.31892,1.15094,0.001571,0.001571,0.001571
67,679.9,1.67415,3.3685,0.98254,0.62719,0.22124,0.28931,0.1786,1.91671,4.78881,1.1463,0.0015644,0.0015644,0.0015644
68,687.548,1.67818,3.43626,0.98473,0.58873,0.29204,0.34178,0.2097,1.80477,4.55541,1.09624,0.0015578,0.0015578,0.0015578
69,695.176,1.64615,3.35501,0.97725,0.47473,0.29204,0.3381,0.20803,1.88718,5.18245,1.13048,0.0015512,0.0015512,0.0015512
70,702.817,1.62338,3.41163,0.98638,0.58811,0.30088,0.35397,0.21984,1.78792,5.72786,1.14813,0.0015446,0.0015446,0.0015446
71,710.519,1.57674,3.11974,0.97856,0.5198,0.29204,0.3477,0.21935,1.74731,5.40319,1.11865,0.001538,0.001538,0.001538
72,718.181,1.55531,3.18967,0.96774,0.65909,0.24779,0.32123,0.21856,1.66217,3.87531,1.08065,0.0015314,0.0015314,0.0015314
73,725.83,1.60784,3.3282,0.97549,0.6181,0.29204,0.34299,0.20852,1.84206,4.46904,1.11824,0.0015248,0.0015248,0.0015248
74,733.497,1.62272,3.33141,0.96824,0.77316,0.21239,0.30924,0.20432,1.75396,4.97923,1.09859,0.0015182,0.0015182,0.0015182
75,741.109,1.57321,3.18894,0.97165,0.50196,0.32743,0.36071,0.20695,1.8911,5.09147,1.133,0.0015116,0.0015116,0.0015116
76,748.849,1.62349,3.13017,0.97536,0.92148,0.16814,0.2052,0.13836,1.91343,7.29397,1.11409,0.001505,0.001505,0.001505
77,756.467,1.57512,3.19869,0.96505,0.76271,0.29204,0.39876,0.23512,1.8751,5.12197,1.12387,0.0014984,0.0014984,0.0014984
78,764.096,1.54235,3.04458,0.955,0.86654,0.24779,0.36847,0.22573,1.85572,5.2972,1.14843,0.0014918,0.0014918,0.0014918
79,771.724,1.57131,3.15511,0.96193,0.64144,0.25335,0.3993,0.23685,1.7865,5.80916,1.10809,0.0014852,0.0014852,0.0014852
80,779.367,1.57139,3.23481,0.97043,0.61442,0.28319,0.34476,0.20347,1.96016,4.70361,1.12568,0.0014786,0.0014786,0.0014786
81,787.011,1.58453,3.24432,0.95725,0.68947,0.30088,0.37735,0.23041,1.86368,5.08824,1.13763,0.001472,0.001472,0.001472
82,794.713,1.54566,3.13199,0.97462,0.50738,0.30088,0.35745,0.2166,1.78496,5.37802,1.10595,0.0014654,0.0014654,0.0014654
