epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.134,1.75757,4.016,1.23631,0.00762,0.64,0.15375,0.05959,1.15637,3.88071,0.90774,0.00052,0.00052,0.00052
2,72.7873,1.38319,2.30802,1.04125,0.00571,0.48,0.00575,0.00262,1.23174,3.99471,1.0651,0.00104951,0.00104951,0.00104951
3,103.412,1.30634,1.87419,1.02499,0.00667,0.56,0.08598,0.03218,1.13108,3.57974,1.02781,0.00156832,0.00156832,0.00156832
4,142.124,1.37769,1.64272,1.07453,0.71823,0.36,0.45038,0.24061,1.19299,2.32175,1.12971,0.0019406,0.0019406,0.0019406
5,181.932,1.27986,1.52996,1.02647,0.67689,0.36,0.3971,0.24834,1.1283,1.59591,1.18285,0.0019208,0.0019208,0.0019208
6,221.811,1.30262,1.3269,1.00494,0.74898,0.32,0.39633,0.27613,1.12608,1.61345,1.07249,0.001901,0.001901,0.001901
7,255.76,1.30302,1.2352,1.01734,0.58208,0.28,0.35238,0.22897,1.26072,0.93661,1.19706,0.0018812,0.0018812,0.0018812
8,282.713,1.37938,1.38432,1.01476,0.55718,0.32,0.35555,0.24278,1.16917,0.97764,1.11283,0.0018614,0.0018614,0.0018614
9,308.285,1.165,1.02013,0.98377,0.54695,0.32,0.3308,0.20581,0.94289,0.94067,1.04953,0.0018416,0.0018416,0.0018416
10,341.043,1.20753,1.00678,1.00897,0.98045,0.24,0.3421,0.22879,1.05954,0.96953,1.08724,0.0018218,0.0018218,0.0018218
11,368.001,1.14558,0.92434,0.97128,0.98291,0.24,0.30856,0.20326,1.21795,1.00048,1.09311,0.001802,0.001802,0.001802
12,400.543,1.23862,0.93579,0.9827,0.68457,0.28,0.36731,0.23673,1.06346,0.93833,1.03961,0.0017822,0.0017822,0.0017822
13,432.733,1.12372,0.83835,0.96968,0.9835,0.24,0.3596,0.23132,1.059,0.98335,1.05511,0.0017624,0.0017624,0.0017624
14,467.033,1.16306,0.86358,0.97755,1,0.27822,0.47102,0.29071,1.14807,0.94148,1.09142,0.0017426,0.0017426,0.0017426
15,501.207,1.09602,0.81286,0.95125,0.98786,0.24,0.34454,0.24474,1.04631,0.87972,1.03495,0.0017228,0.0017228,0.0017228
16,533.277,1.13388,0.80189,0.97983,0.60419,0.28,0.34704,0.2306,1.11842,0.69674,1.07948,0.001703,0.001703,0.001703
17,565.449,1.11815,0.79155,0.9427,0.782,0.28761,0.44852,0.27469,1.09708,0.75943,1.07269,0.0016832,0.0016832,0.0016832
18,597.675,1.09432,0.77135,0.94428,1,0.27657,0.38986,0.27374,0.87661,0.7007,0.96883,0.0016634,0.0016634,0.0016634
